# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=650MeV/c            
#Omega  C.S.      Stat. Err. 
-37.5   0.000000   0.000000
-32.5   0.000000   0.000000
-27.5   0.000000   0.000000
-22.5   0.000000   0.000000
-17.5   0.000000   0.000000
-12.5   0.000000   0.000000
 -7.5   0.000000   0.000000
 -2.5   0.000000   0.000000
  2.5   0.000000   0.000000
  7.5   0.000000   0.000000
 12.5   0.000000   0.000000
 17.5   0.000737   0.000170
 22.5   0.001146   0.000210
 27.5   0.000670   0.000163
 32.5   0.002616   0.000324
 37.5   0.002152   0.000289
 42.5   0.003365   0.000366
 47.5   0.003998   0.000397
 52.5   0.005385   0.000462
 57.5   0.005576   0.000473
 62.5   0.005922   0.000467
 67.5   0.006819   0.000498
 72.5   0.007340   0.000473
 77.5   0.007985   0.000487
 82.5   0.008457   0.000490
 87.5   0.008995   0.000500
 92.5   0.010513   0.000538
 97.5   0.011439   0.000563
102.5   0.012425   0.000583
107.5   0.012442   0.000582
112.5   0.013294   0.000605
117.5   0.015298   0.000650
122.5   0.015290   0.000649
127.5   0.016246   0.000673
132.5   0.018341   0.000714
137.5   0.017789   0.000704
142.5   0.019036   0.000727
147.5   0.021369   0.000774
152.5   0.022542   0.000797
157.5   0.024741   0.000840
162.5   0.027096   0.000917
167.5   0.025799   0.000877
172.5   0.028779   0.000957
177.5   0.030462   0.001012
182.5   0.029205   0.001024
187.5   0.029872   0.001052
192.5   0.032712   0.001151
197.5   0.033680   0.001046
202.5   0.032870   0.001030
207.5   0.033372   0.001035
212.5   0.033820   0.001092
217.5   0.035863   0.001076
222.5   0.033748   0.001049
227.5   0.035313   0.001079
232.5   0.036074   0.001135
237.5   0.034048   0.001083
242.5   0.037485   0.001231
247.5   0.036561   0.001195
252.5   0.032851   0.001250
257.5   0.031712   0.001225
262.5   0.032741   0.001247
267.5   0.032853   0.001257
272.5   0.033600   0.001276
277.5   0.031489   0.001240
282.5   0.030829   0.001242
287.5   0.031642   0.001302
292.5   0.029484   0.001484
297.5   0.026653   0.001243
302.5   0.024310   0.001358
307.5   0.022900   0.001365
312.5   0.024893   0.001662
317.5   0.023856   0.001617
322.5   0.022856   0.001586
327.5   0.021468   0.001539
332.5   0.019247   0.001445
337.5   0.024455   0.001808
342.5   0.022431   0.001691
347.5   0.023409   0.001581
352.5   0.022007   0.001536
357.5   0.020053   0.001475
