# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=575MeV/c            q=600MeV/c            q=625MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000184   0.000184   0.000000   0.000000   0.000000   0.000000
-12.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -2.5   0.000186   0.000186   0.000191   0.000191   0.000000   0.000000
  2.5   0.002782   0.000719   0.001720   0.000574   0.000000   0.000000
  7.5   0.005911   0.001045   0.002898   0.000749   0.001257   0.000513
 12.5   0.007133   0.001158   0.003853   0.000863   0.002035   0.000644
 17.5   0.006928   0.001140   0.003457   0.000816   0.003257   0.000772
 22.5   0.009158   0.001309   0.006559   0.001127   0.003642   0.000645
 27.5   0.011993   0.001501   0.010537   0.001437   0.006301   0.000911
 32.5   0.016496   0.001761   0.012480   0.001550   0.006538   0.000863
 37.5   0.017929   0.001821   0.011112   0.001093   0.010057   0.001211
 42.5   0.016703   0.001305   0.012251   0.001139   0.010341   0.001091
 47.5   0.020791   0.001454   0.017555   0.001369   0.010640   0.001106
 52.5   0.022018   0.001494   0.017472   0.001360   0.011706   0.001155
 57.5   0.025252   0.001603   0.019306   0.001431   0.015639   0.001346
 62.5   0.028642   0.001699   0.018968   0.001420   0.015452   0.001336
 67.5   0.029882   0.001729   0.023655   0.001585   0.018585   0.001472
 72.5   0.037229   0.001929   0.025475   0.001653   0.018180   0.001367
 77.5   0.037713   0.001932   0.027051   0.001693   0.022348   0.001521
 82.5   0.038094   0.001940   0.031983   0.001848   0.022408   0.001448
 87.5   0.049139   0.002060   0.032097   0.001819   0.027384   0.001498
 92.5   0.052324   0.002156   0.039203   0.001785   0.029058   0.001540
 97.5   0.059394   0.002114   0.041786   0.001840   0.026850   0.001473
102.5   0.062773   0.002113   0.046196   0.001857   0.030502   0.001563
107.5   0.068977   0.002175   0.048181   0.001890   0.035650   0.001682
112.5   0.074206   0.002307   0.056190   0.002045   0.039329   0.001766
117.5   0.079507   0.002321   0.061362   0.002135   0.042786   0.001850
122.5   0.079890   0.002319   0.057196   0.002048   0.046928   0.001942
127.5   0.087610   0.002424   0.064156   0.002163   0.050039   0.002000
132.5   0.091550   0.002472   0.071784   0.002287   0.048856   0.001979
137.5   0.092832   0.002494   0.070805   0.002266   0.052512   0.002050
142.5   0.097833   0.002561   0.072016   0.002287   0.054757   0.002099
147.5   0.100099   0.002601   0.080943   0.002418   0.061481   0.002223
152.5   0.110452   0.002738   0.085500   0.002495   0.058842   0.002170
157.5   0.119065   0.002862   0.083355   0.002485   0.063552   0.002276
162.5   0.121778   0.002950   0.089870   0.002618   0.068745   0.002375
167.5   0.129138   0.003107   0.092631   0.002707   0.073890   0.002503
172.5   0.117452   0.003516   0.104414   0.002955   0.075836   0.002582
177.5   0.121410   0.003565   0.111623   0.003561   0.083269   0.003130
182.5   0.120733   0.003535   0.108179   0.003500   0.082916   0.003205
187.5   0.114293   0.003420   0.101650   0.003380   0.090656   0.003362
192.5   0.121650   0.003518   0.095999   0.003288   0.089052   0.003346
197.5   0.116099   0.003425   0.099622   0.003338   0.087345   0.003310
202.5   0.111384   0.003346   0.092765   0.003213   0.088321   0.003326
207.5   0.114130   0.003380   0.097185   0.003281   0.087031   0.003303
212.5   0.103122   0.003205   0.102893   0.003365   0.086617   0.003274
217.5   0.096800   0.003099   0.090955   0.003152   0.085368   0.003255
222.5   0.100314   0.003165   0.090721   0.003155   0.081469   0.003160
227.5   0.090940   0.003038   0.089498   0.003163   0.087729   0.003296
232.5   0.090968   0.003092   0.082913   0.003056   0.087324   0.003312
237.5   0.089057   0.004182   0.088391   0.003245   0.077184   0.003151
242.5   0.082806   0.003999   0.086694   0.004310   0.076470   0.003229
247.5   0.079365   0.003893   0.080581   0.004149   0.078881   0.003470
252.5   0.073119   0.003704   0.084681   0.004241   0.074195   0.004231
257.5   0.073777   0.003699   0.081545   0.004152   0.077401   0.004319
262.5   0.073175   0.003665   0.069124   0.003809   0.077174   0.004347
267.5   0.069886   0.003564   0.071688   0.003859   0.073482   0.004209
272.5   0.065136   0.003478   0.071536   0.003834   0.069012   0.004061
277.5   0.071985   0.003711   0.067237   0.003741   0.062418   0.003860
282.5   0.065689   0.003641   0.068902   0.003832   0.068310   0.004032
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
