# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=650MeV/c            
#Omega  C.S.      Stat. Err. 
-37.5   0.000000   0.000000
-32.5   0.000000   0.000000
-27.5   0.000000   0.000000
-22.5   0.000000   0.000000
-17.5   0.000000   0.000000
-12.5   0.000266   0.000266
 -7.5   0.000000   0.000000
 -2.5   0.000000   0.000000
  2.5   0.000000   0.000000
  7.5   0.000000   0.000000
 12.5   0.001580   0.000600
 17.5   0.001624   0.000458
 22.5   0.002798   0.000597
 27.5   0.002753   0.000577
 32.5   0.004397   0.000733
 37.5   0.003561   0.000664
 42.5   0.006395   0.000883
 47.5   0.008125   0.001005
 52.5   0.008024   0.001001
 57.5   0.012139   0.001223
 62.5   0.010356   0.001029
 67.5   0.014233   0.001281
 72.5   0.017193   0.001435
 77.5   0.016331   0.001210
 82.5   0.017615   0.001267
 87.5   0.017809   0.001251
 92.5   0.019629   0.001314
 97.5   0.023248   0.001421
102.5   0.024262   0.001451
107.5   0.025295   0.001482
112.5   0.027733   0.001544
117.5   0.030617   0.001624
122.5   0.035117   0.001740
127.5   0.034938   0.001739
132.5   0.043032   0.001944
137.5   0.041297   0.001897
142.5   0.042717   0.001929
147.5   0.046651   0.002015
152.5   0.047922   0.002053
157.5   0.051029   0.002137
162.5   0.054402   0.002215
167.5   0.058371   0.002324
172.5   0.066403   0.002533
177.5   0.059663   0.002446
182.5   0.063762   0.002630
187.5   0.069782   0.002866
192.5   0.071887   0.003111
197.5   0.074020   0.003155
202.5   0.075787   0.003188
207.5   0.080007   0.003346
212.5   0.082331   0.003323
217.5   0.073308   0.003156
222.5   0.082053   0.003330
227.5   0.083920   0.003387
232.5   0.068748   0.003099
237.5   0.078511   0.003420
242.5   0.085975   0.003665
247.5   0.073331   0.003447
252.5   0.082757   0.004660
257.5   0.071473   0.004347
262.5   0.074091   0.004404
267.5   0.067685   0.004217
272.5   0.072436   0.004396
277.5   0.072495   0.004476
282.5   0.064275   0.004239
287.5   0.063571   0.004641
292.5   0.066478   0.004597
297.5   0.061728   0.004843
302.5   0.053385   0.004535
307.5   0.059003   0.005054
312.5   -          -       
317.5   -          -       
322.5   -          -       
327.5   -          -       
332.5   -          -       
337.5   -          -       
342.5   -          -       
347.5   -          -       
352.5   -          -       
357.5   -          -       
