# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=500MeV/c            q=525MeV/c            q=550MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   -0.000028   0.000028   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000118   0.000118
-17.5   -0.000053   0.000038   -0.000056   0.000040   0.000000   0.000000
-12.5   -0.000027   0.000027   -0.000028   0.000028   -0.000028   0.000028
 -7.5   0.000190   0.000158   -0.000026   0.000026   0.000000   0.000000
 -2.5   -0.000165   0.000067   -0.000055   0.000039   -0.000030   0.000030
  2.5   -0.000054   0.000038   -0.000055   0.000130   0.000000   0.000000
  7.5   -0.000495   0.000478   -0.000249   0.000231   -0.000168   0.000069
 12.5   -0.000065   0.001135   -0.001329   0.000616   -0.000332   0.000301
 17.5   0.000784   0.001384   0.002820   0.001376   -0.000606   0.001126
 22.5   -0.000896   0.000894   -0.000914   0.000766   -0.000835   0.000714
 27.5   0.000610   0.000888   0.000252   0.000914   0.001009   0.000914
 32.5   0.001957   0.001093   0.001218   0.000938   -0.000020   0.000810
 37.5   0.002048   0.001184   -0.000588   0.000947   0.000132   0.000905
 42.5   0.000601   0.001185   0.000102   0.000995   -0.000081   0.000723
 47.5   -0.000486   0.001195   -0.000847   0.001020   0.000517   0.000740
 52.5   0.001148   0.001319   0.002191   0.001163   0.000968   0.000781
 57.5   -0.000369   0.001376   0.001070   0.000945   0.001031   0.000838
 62.5   0.013061   0.001650   -0.000642   0.000939   0.000719   0.000840
 67.5   0.019995   0.001618   0.005492   0.001139   0.000066   0.000876
 72.5   0.009524   0.001479   0.016592   0.001435   0.002461   0.000947
 77.5   0.008767   0.001528   0.007347   0.001295   0.008073   0.001151
 82.5   0.010248   0.001605   0.010113   0.001373   0.006620   0.001173
 87.5   0.013633   0.001735   0.007572   0.001418   0.003462   0.001147
 92.5   0.020449   0.001860   0.009195   0.001493   0.003217   0.001204
 97.5   0.025966   0.002005   0.012557   0.001603   0.004229   0.001257
102.5   0.041871   0.002221   0.016869   0.001696   0.009019   0.001414
107.5   0.060269   0.002342   0.026385   0.001827   0.008535   0.001309
112.5   0.079099   0.002440   0.033673   0.001916   0.012448   0.001389
117.5   0.096797   0.002511   0.040631   0.002119   0.016655   0.001436
122.5   0.107280   0.002557   0.059486   0.002089   0.023865   0.001538
127.5   0.116197   0.002862   0.073189   0.002235   0.033439   0.001677
132.5   0.101925   0.002535   0.086903   0.002318   0.042578   0.001797
137.5   0.077712   0.002341   0.088168   0.002316   0.050729   0.001901
142.5   0.069326   0.002217   0.085822   0.002301   0.061895   0.002019
147.5   0.051522   0.002696   0.078893   0.002933   0.070947   0.002120
152.5   0.039166   0.002487   0.057076   0.002702   0.073587   0.002154
157.5   0.031382   0.002400   0.052214   0.002595   0.064287   0.002087
162.5   0.021041   0.002216   0.039832   0.002420   0.053465   0.002041
167.5   0.019294   0.002143   0.033834   0.002316   0.048822   0.002483
172.5   0.017933   0.002120   0.024411   0.002167   0.040086   0.002354
177.5   0.014770   0.001997   0.020300   0.002093   0.027582   0.002160
182.5   0.008656   0.001859   0.019550   0.002018   0.023594   0.002060
187.5   0.011861   0.001834   0.012697   0.001851   0.020428   0.002004
192.5   0.008609   0.001708   0.013638   0.001835   0.014934   0.001882
197.5   0.008611   0.001643   0.008425   0.001703   0.009938   0.001769
202.5   0.008177   0.001553   0.007760   0.001638   0.013679   0.001788
207.5   0.008424   0.001503   0.009852   0.001608   0.012389   0.001715
212.5   0.005303   0.001421   0.005461   0.001520   0.007040   0.001577
217.5   0.005256   0.001392   0.008736   0.001527   0.005695   0.001507
222.5   0.003655   0.001675   0.004977   0.001444   0.006172   0.001512
227.5   0.001440   0.001452   0.004868   0.001436   0.004910   0.001471
232.5   0.001778   0.001790   0.002176   0.001470   0.005840   0.001474
237.5   0.006011   0.001848   0.006332   0.001970   0.006917   0.002095
242.5   0.005227   0.001757   0.002357   0.001840   0.002038   0.001923
247.5   0.004340   0.001698   0.003560   0.001781   0.004777   0.001994
252.5   0.004813   0.001644   0.003507   0.001766   0.001818   0.001782
257.5   0.005214   0.001655   0.004560   0.001733   0.005010   0.001825
262.5   0.006304   0.001695   0.001148   0.001563   0.007499   0.001855
267.5   0.007107   0.001680   0.000865   0.001504   0.005380   0.001789
272.5   0.004232   0.001635   0.005734   0.001717   0.006334   0.001776
277.5   0.003657   0.003006   0.008708   0.001803   0.006028   0.001707
282.5   0.006007   0.002338   0.005250   0.001815   0.004512   0.001794
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
