# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=650MeV/c            
#Omega  C.S.      Stat. Err. 
-37.5   0.000000   0.000000
-32.5   0.000000   0.000000
-27.5   0.000000   0.000000
-22.5   0.000000   0.000000
-17.5   0.000000   0.000000
-12.5   0.000000   0.000000
 -7.5   0.000000   0.000000
 -2.5   0.000000   0.000000
  2.5   0.000000   0.000000
  7.5   0.000000   0.000000
 12.5   0.000125   0.000125
 17.5   -0.000037   0.000176
 22.5   -0.000008   0.000232
 27.5   -0.000081   0.000164
 32.5   0.000190   0.000366
 37.5   0.000434   0.000367
 42.5   -0.000237   0.000367
 47.5   -0.000457   0.000392
 52.5   -0.000879   0.000430
 57.5   -0.000223   0.000490
 62.5   -0.000333   0.000472
 67.5   -0.000043   0.000530
 72.5   -0.000239   0.000504
 77.5   0.000561   0.000590
 82.5   0.000157   0.000633
 87.5   -0.000015   0.000564
 92.5   0.000158   0.000616
 97.5   -0.000220   0.000626
102.5   -0.000142   0.000659
107.5   0.003411   0.000792
112.5   0.003390   0.000812
117.5   0.001578   0.000794
122.5   0.001032   0.000776
127.5   0.001321   0.000811
132.5   -0.000034   0.000808
137.5   0.002085   0.000865
142.5   0.001266   0.000860
147.5   0.002467   0.000952
152.5   0.004111   0.001018
157.5   0.003253   0.001047
162.5   0.005093   0.001140
167.5   0.008600   0.001217
172.5   0.010965   0.001360
177.5   0.011608   0.001428
182.5   0.018970   0.001634
187.5   0.021834   0.001724
192.5   0.029836   0.002155
197.5   0.032901   0.002244
202.5   0.032650   0.002247
207.5   0.035525   0.002286
212.5   0.035907   0.002301
217.5   0.030428   0.002235
222.5   0.027364   0.002132
227.5   0.022521   0.002112
232.5   0.015947   0.001972
237.5   0.016470   0.001971
242.5   0.011805   0.002046
247.5   0.010714   0.002008
252.5   0.012086   0.002582
257.5   0.007000   0.002364
262.5   0.004656   0.002293
267.5   0.004719   0.002412
272.5   0.004870   0.002319
277.5   0.005187   0.002267
282.5   0.001182   0.002073
287.5   0.000763   0.002144
292.5   -0.002595   0.002191
297.5   0.003066   0.002311
302.5   0.005359   0.002977
307.5   0.006495   0.002797
312.5   -          -       
317.5   -          -       
322.5   -          -       
327.5   -          -       
332.5   -          -       
337.5   -          -       
342.5   -          -       
347.5   -          -       
352.5   -          -       
357.5   -          -       
