# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=575MeV/c            q=600MeV/c            q=625MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000035   0.000035   0.000000   0.000000   0.000000   0.000000
-17.5   0.000000   0.000000   0.000030   0.000030   0.000000   0.000000
-12.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -2.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  2.5   0.000089   0.000051   0.000000   0.000000   0.000000   0.000000
  7.5   0.000057   0.000040   0.000087   0.000050   0.000000   0.000000
 12.5   0.000420   0.000187   -0.000132   0.000247   0.000012   0.000137
 17.5   -0.001035   0.000915   0.000517   0.000444   0.000217   0.000421
 22.5   -0.000236   0.000756   0.000719   0.000547   0.000331   0.000342
 27.5   0.003396   0.000843   0.000820   0.000650   0.000533   0.000247
 32.5   0.006197   0.001070   0.003190   0.000874   0.000644   0.000536
 37.5   0.005816   0.000985   0.004561   0.000712   0.004622   0.000648
 42.5   0.006309   0.000811   0.005389   0.000709   0.002752   0.000674
 47.5   0.007142   0.000884   0.004895   0.000803   0.004484   0.000715
 52.5   0.007418   0.000859   0.005713   0.000815   0.006603   0.000819
 57.5   0.006505   0.000831   0.005270   0.000814   0.004590   0.000831
 62.5   0.004765   0.000870   0.005237   0.000819   0.005476   0.000731
 67.5   0.006232   0.000899   0.004961   0.000821   0.003634   0.000789
 72.5   0.010102   0.000958   0.007115   0.000852   0.004910   0.000798
 77.5   0.007367   0.001035   0.006403   0.000936   0.005862   0.000770
 82.5   0.008193   0.001205   0.006298   0.000929   0.004487   0.000835
 87.5   0.011581   0.001282   0.006057   0.000972   0.006046   0.000801
 92.5   0.012257   0.001217   0.010124   0.001228   0.007687   0.000829
 97.5   0.013154   0.001241   0.008690   0.001173   0.007309   0.000933
102.5   0.014581   0.001224   0.010574   0.001104   0.007282   0.001078
107.5   0.018101   0.001336   0.010156   0.001096   0.007504   0.001057
112.5   0.021283   0.001566   0.012300   0.001139   0.006623   0.001065
117.5   0.022836   0.001476   0.016031   0.001180   0.009968   0.001020
122.5   0.025006   0.001587   0.015761   0.001297   0.011269   0.001081
127.5   0.029072   0.001725   0.019056   0.001346   0.012873   0.001164
132.5   0.033040   0.001843   0.021334   0.001441   0.013275   0.001181
137.5   0.033558   0.001965   0.022102   0.001547   0.015490   0.001302
142.5   0.036430   0.002168   0.024188   0.001666   0.017949   0.001364
147.5   0.040632   0.002367   0.030508   0.001791   0.017866   0.001416
152.5   0.043041   0.002511   0.031393   0.001942   0.018700   0.001528
157.5   0.046539   0.002676   0.035286   0.002123   0.023442   0.001679
162.5   0.041927   0.002732   0.035841   0.002294   0.022369   0.001797
167.5   0.048733   0.002812   0.039949   0.002493   0.029070   0.001942
172.5   0.044229   0.003303   0.035958   0.002717   0.028283   0.002174
177.5   0.047187   0.003171   0.040882   0.003179   0.034918   0.002590
182.5   0.044185   0.002957   0.040419   0.003176   0.030013   0.002940
187.5   0.046016   0.002832   0.039163   0.003061   0.026839   0.003056
192.5   0.048358   0.002643   0.038210   0.002945   0.034264   0.003067
197.5   0.045212   0.002541   0.042373   0.002809   0.033104   0.003023
202.5   0.041194   0.002353   0.042439   0.002619   0.034112   0.002981
207.5   0.041270   0.002323   0.036095   0.002549   0.034773   0.002819
212.5   0.038113   0.002223   0.035739   0.002383   0.034879   0.002688
217.5   0.034774   0.002162   0.035385   0.002288   0.033408   0.002598
222.5   0.025790   0.002033   0.034847   0.002179   0.027945   0.002498
227.5   0.030744   0.001977   0.032002   0.002154   0.031453   0.002337
232.5   0.025264   0.001934   0.032397   0.002087   0.028332   0.002240
237.5   0.020786   0.002841   0.024337   0.002123   0.027494   0.002205
242.5   0.025315   0.002725   0.027272   0.002784   0.028428   0.002210
247.5   0.021093   0.002595   0.025281   0.002628   0.028193   0.002314
252.5   0.018316   0.002444   0.018980   0.002562   0.019598   0.002938
257.5   0.016263   0.002327   0.021280   0.002509   0.021455   0.002914
262.5   0.018217   0.002235   0.021451   0.002481   0.020843   0.002859
267.5   0.018336   0.002128   0.017470   0.002480   0.019389   0.002760
272.5   0.017141   0.002138   0.013081   0.002416   0.021322   0.002565
277.5   0.014589   0.002096   0.015649   0.002383   0.019611   0.002481
282.5   0.010373   0.002262   0.015865   0.002240   0.012245   0.002652
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
