# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=650MeV/c            
#Omega  C.S.      Stat. Err. 
-37.5   0.000000   0.000000
-32.5   0.000000   0.000000
-27.5   0.000000   0.000000
-22.5   0.000000   0.000000
-17.5   0.000000   0.000000
-12.5   0.000000   0.000000
 -7.5   0.000000   0.000000
 -2.5   0.000000   0.000000
  2.5   0.000000   0.000000
  7.5   0.000091   0.000091
 12.5   -0.000125   0.000125
 17.5   0.000037   0.000176
 22.5   0.000008   0.000232
 27.5   0.000081   0.000164
 32.5   0.000048   0.000381
 37.5   0.001101   0.000468
 42.5   0.002563   0.000521
 47.5   0.002583   0.000518
 52.5   0.004558   0.000634
 57.5   0.005714   0.000740
 62.5   0.004510   0.000705
 67.5   0.003940   0.000687
 72.5   0.003972   0.000659
 77.5   0.004980   0.000808
 82.5   0.004271   0.000806
 87.5   0.004808   0.000819
 92.5   0.005225   0.000768
 97.5   0.006063   0.000794
102.5   0.007731   0.000855
107.5   0.006180   0.001002
112.5   0.008100   0.001049
117.5   0.008420   0.001008
122.5   0.008090   0.000980
127.5   0.008901   0.001029
132.5   0.010535   0.001037
137.5   0.008681   0.001084
142.5   0.009844   0.001081
147.5   0.011153   0.001207
152.5   0.012742   0.001305
157.5   0.015591   0.001356
162.5   0.017463   0.001492
167.5   0.015006   0.001583
172.5   0.019388   0.001772
177.5   0.023483   0.001888
182.5   0.022275   0.002161
187.5   0.026930   0.002321
192.5   0.024531   0.002827
197.5   0.025319   0.002933
202.5   0.025536   0.002936
207.5   0.026426   0.002991
212.5   0.026719   0.003018
217.5   0.028918   0.002932
222.5   0.028612   0.002822
227.5   0.025333   0.002718
232.5   0.032507   0.002650
237.5   0.028142   0.002601
242.5   0.026860   0.002666
247.5   0.026518   0.002595
252.5   0.023632   0.003292
257.5   0.023604   0.003018
262.5   0.024578   0.002957
267.5   0.020785   0.002964
272.5   0.022378   0.003002
277.5   0.017558   0.002788
282.5   0.020708   0.002634
287.5   0.021849   0.002745
292.5   0.023094   0.002737
297.5   0.015324   0.002788
302.5   0.007822   0.003397
307.5   0.012181   0.003469
312.5   -          -       
317.5   -          -       
322.5   -          -       
327.5   -          -       
332.5   -          -       
337.5   -          -       
342.5   -          -       
347.5   -          -       
352.5   -          -       
357.5   -          -       
