# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=425MeV/c            q=450MeV/c            q=475MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000000   0.000000   0.000604   0.000604   0.000588   0.000588
-12.5   0.000561   0.000561   0.000000   0.000000   0.000603   0.000603
 -7.5   0.001735   0.001002   0.000000   0.000000   0.000000   0.000000
 -2.5   0.081459   0.006838   0.011326   0.002600   0.022175   0.003697
  2.5   0.137131   0.008854   0.067963   0.006340   0.057351   0.005917
  7.5   0.122384   0.008369   0.079273   0.006825   0.056782   0.005859
 12.5   0.159555   0.009538   0.085301   0.007063   0.062984   0.006149
 17.5   0.154212   0.009353   0.113231   0.008112   0.056015   0.005780
 22.5   0.183663   0.010191   0.109975   0.007960   0.088216   0.007230
 27.5   0.225038   0.011256   0.133958   0.008779   0.090966   0.007309
 32.5   0.225751   0.011222   0.162687   0.009674   0.104595   0.007820
 37.5   0.277068   0.012383   0.170896   0.009887   0.130753   0.008758
 42.5   0.288657   0.012579   0.177600   0.010058   0.143156   0.009131
 47.5   0.316863   0.013139   0.203273   0.010747   0.161974   0.009684
 52.5   0.313420   0.013030   0.237528   0.011609   0.171200   0.009920
 57.5   0.330759   0.013342   0.273309   0.012403   0.188747   0.010392
 62.5   0.384505   0.014344   0.281377   0.012527   0.208111   0.010880
 67.5   0.398629   0.014571   0.298077   0.012821   0.230036   0.009105
 72.5   0.450019   0.015441   0.319207   0.013181   0.259464   0.009801
 77.5   0.442803   0.015238   0.370178   0.011220   0.272479   0.009780
 82.5   0.493996   0.016025   0.375720   0.011259   0.306170   0.010326
 87.5   0.500751   0.012743   0.390141   0.011454   0.320990   0.010535
 92.5   0.494409   0.012621   0.424472   0.011861   0.315911   0.010406
 97.5   0.522143   0.012916   0.436240   0.011985   0.340524   0.010756
102.5   0.474951   0.012279   0.440603   0.012012   0.346419   0.010809
107.5   0.493998   0.012462   0.448128   0.012091   0.382791   0.011152
112.5   0.467021   0.012030   0.424435   0.011729   0.381355   0.010905
117.5   0.440268   0.011613   0.406886   0.011422   0.387091   0.009641
122.5   0.421920   0.011324   0.416448   0.011487   0.403461   0.010016
127.5   0.436519   0.018724   0.417639   0.018685   0.376885   0.009941
132.5   0.382630   0.017472   0.375538   0.017693   0.355272   0.008922
137.5   0.362009   0.011580   0.366161   0.011721   0.336080   0.008617
142.5   0.324644   0.011168   0.373221   0.011737   0.326048   0.008562
147.5   0.327701   0.010734   0.340691   0.011167   0.342324   0.011334
152.5   0.316010   0.010953   0.298572   0.012076   0.310613   0.010750
157.5   0.242628   0.009125   0.288512   0.010103   0.310287   0.010706
162.5   0.249822   0.009191   0.282045   0.009960   0.286107   0.010225
167.5   0.236109   0.008878   0.264346   0.009595   0.268190   0.009844
172.5   0.212583   0.008364   0.226198   0.008843   0.264514   0.009722
177.5   0.189278   0.007843   0.226569   0.008791   0.238380   0.009184
182.5   0.173215   0.007447   0.207834   0.008359   0.212107   0.008606
187.5   0.168316   0.007310   0.186799   0.007878   0.197097   0.008246
192.5   0.148758   0.006831   0.171897   0.007492   0.190183   0.008055
197.5   0.140040   0.006676   0.171811   0.007472   0.193992   0.008080
202.5   0.134040   0.006644   0.157908   0.007159   0.161875   0.007356
207.5   0.142314   0.007009   0.142367   0.006990   0.172560   0.007581
212.5   0.121285   0.008035   0.142300   0.007111   0.131103   0.006773
217.5   0.137082   0.008472   0.127845   0.008397   0.128626   0.008635
222.5   0.084859   0.006346   0.127371   0.008184   0.114737   0.007616
227.5   0.097523   0.006705   0.114007   0.007661   0.123859   0.007723
232.5   0.126563   0.007733   0.122513   0.007569   0.124396   0.007605
237.5   0.107740   0.006780   0.115525   0.007158   0.112143   0.007161
242.5   0.102033   0.006433   0.107073   0.006780   0.094042   0.006504
247.5   0.117847   0.007005   0.108842   0.006951   0.112132   0.007026
252.5   0.120110   0.007093   0.118884   0.007036   0.104673   0.006735
257.5   0.114051   0.007333   0.119337   0.007134   0.109007   0.006838
262.5   0.126531   0.016912   0.110256   0.007047   0.106638   0.006845
267.5   0.161162   0.018999   0.104884   0.007343   0.102204   0.007083
272.5   0.138851   0.017498   0.118759   0.016496   0.120531   0.009553
277.5   0.154590   0.018353   0.133794   0.017276   0.109631   0.015995
282.5   0.154780   0.018125   0.152641   0.018250   0.098281   0.014991
287.5   0.177613   0.019273   0.153738   0.018126   0.135752   0.017533
292.5   0.152486   0.017614   0.105129   0.014874   0.132002   0.017050
297.5   0.172815   0.018535   0.171661   0.018848   0.106378   0.015206
302.5   0.178481   0.018717   0.148533   0.017392   0.124802   0.016255
307.5   0.182319   0.018813   0.163418   0.018055   0.136168   0.016767
312.5   0.195569   0.019468   0.169933   0.018227   0.132011   0.016379
317.5   0.168226   0.018046   0.154365   0.017157   0.141906   0.016845
322.5   0.208209   0.020815   0.217017   0.020153   0.127245   0.015786
327.5   0.223997   0.021805   0.157951   0.017149   0.150529   0.017049
332.5   0.163931   0.020421   0.193082   0.019058   0.175232   0.018280
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
