# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=650MeV/c            
#Omega  C.S.      Stat. Err. 
-37.5   0.000000   0.000000
-32.5   0.000000   0.000000
-27.5   0.000000   0.000000
-22.5   0.000000   0.000000
-17.5   0.000000   0.000000
-12.5   0.000000   0.000000
 -7.5   0.000000   0.000000
 -2.5   0.000000   0.000000
  2.5   0.000000   0.000000
  7.5   0.000708   0.000708
 12.5   0.002249   0.001299
 17.5   0.005169   0.001560
 22.5   0.004490   0.001443
 27.5   0.005448   0.001634
 32.5   0.009006   0.002071
 37.5   0.004168   0.001403
 42.5   0.008259   0.001991
 47.5   0.012602   0.002452
 52.5   0.018821   0.002966
 57.5   0.019151   0.003016
 62.5   0.015665   0.002714
 67.5   0.019475   0.002910
 72.5   0.026648   0.003110
 77.5   0.025424   0.002962
 82.5   0.031587   0.003282
 87.5   0.034946   0.003390
 92.5   0.041344   0.003647
 97.5   0.044820   0.003844
102.5   0.044064   0.003772
107.5   0.052393   0.004107
112.5   0.054100   0.004227
117.5   0.055157   0.004240
122.5   0.057954   0.004337
127.5   0.064477   0.004582
132.5   0.067093   0.004667
137.5   0.079485   0.005086
142.5   0.085144   0.005278
147.5   0.087059   0.005353
152.5   0.093137   0.005534
157.5   0.099317   0.005864
162.5   0.095780   0.005720
167.5   0.119395   0.006478
172.5   0.128088   0.006855
177.5   0.127474   0.007068
182.5   0.135154   0.007391
187.5   0.120587   0.007219
192.5   0.137289   0.008115
197.5   0.137975   0.008197
202.5   0.136418   0.007976
207.5   0.117981   0.007426
212.5   0.134706   0.007924
217.5   0.145936   0.008289
222.5   0.132598   0.007870
227.5   0.146832   0.008357
232.5   0.132278   0.007928
237.5   0.141357   0.008283
242.5   0.146343   0.008542
247.5   0.145882   0.009080
252.5   0.133529   0.009892
257.5   0.122926   0.009402
262.5   0.128421   0.009709
267.5   0.124276   0.009446
272.5   0.104744   0.009308
277.5   0.110853   0.008967
282.5   0.099735   0.008653
287.5   0.103538   0.008967
292.5   0.102251   0.009294
297.5   0.092455   0.009278
302.5   0.097251   0.010643
307.5   0.111226   0.010485
312.5   0.060864   0.013973
317.5   0.104299   0.018163
322.5   0.085087   0.016385
327.5   0.085517   0.016468
332.5   0.086933   0.016439
337.5   0.087647   0.016575
342.5   0.096131   0.017274
347.5   0.079661   0.015638
352.5   0.069995   0.014605
357.5   0.069532   0.014515
