# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=500MeV/c            q=525MeV/c            q=550MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
-37.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.5   0.000749   0.000749   0.000000   0.000000   0.000000   0.000000
-22.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-12.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.5   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -2.5   0.001449   0.001025   0.002302   0.001330   0.000741   0.000741
  2.5   0.009856   0.002635   0.015189   0.003316   0.019188   0.003764
  7.5   0.022652   0.004006   0.020981   0.003898   0.010303   0.002754
 12.5   0.027994   0.004427   0.023233   0.004109   0.011003   0.002841
 17.5   0.039752   0.005266   0.025042   0.004235   0.017605   0.003594
 22.5   0.036170   0.005017   0.036755   0.005149   0.014752   0.003299
 27.5   0.059661   0.006434   0.033911   0.004948   0.025600   0.004328
 32.5   0.053045   0.006046   0.046183   0.005731   0.036436   0.005154
 37.5   0.070974   0.006961   0.029164   0.004502   0.030450   0.004701
 42.5   0.068496   0.006818   0.052556   0.006031   0.030763   0.003683
 47.5   0.092637   0.007888   0.049608   0.005848   0.037672   0.004128
 52.5   0.080767   0.007344   0.073960   0.007119   0.040632   0.004192
 57.5   0.105589   0.008376   0.073896   0.005573   0.050361   0.004674
 62.5   0.117301   0.006965   0.086070   0.006336   0.058150   0.005027
 67.5   0.143449   0.008169   0.095700   0.006302   0.061116   0.005135
 72.5   0.147744   0.007739   0.097697   0.006364   0.076610   0.005745
 77.5   0.148265   0.007720   0.102937   0.006539   0.086805   0.006097
 82.5   0.180410   0.008504   0.121566   0.007076   0.091980   0.006261
 87.5   0.187948   0.008658   0.133034   0.007383   0.101173   0.006561
 92.5   0.199119   0.008883   0.148932   0.007797   0.096793   0.006406
 97.5   0.190281   0.008664   0.147001   0.007730   0.113282   0.006909
102.5   0.219410   0.009261   0.162943   0.008119   0.121439   0.007128
107.5   0.214629   0.008163   0.182894   0.007504   0.136817   0.006489
112.5   0.224279   0.008613   0.192489   0.007549   0.128363   0.006084
117.5   0.234419   0.008871   0.185868   0.007196   0.138444   0.006285
122.5   0.253109   0.008227   0.194455   0.007330   0.148225   0.006476
127.5   0.244309   0.008088   0.197190   0.007322   0.146533   0.006457
132.5   0.228308   0.007782   0.217300   0.007662   0.159970   0.006692
137.5   0.246919   0.008042   0.195123   0.007243   0.161120   0.006710
142.5   0.224904   0.007683   0.195464   0.007223   0.162441   0.006725
147.5   0.249644   0.010605   0.188154   0.009378   0.167344   0.006824
152.5   0.244018   0.010433   0.210324   0.009886   0.169783   0.006904
157.5   0.210807   0.009657   0.199893   0.009601   0.173661   0.007062
162.5   0.216981   0.009751   0.196164   0.009474   0.160688   0.006924
167.5   0.211103   0.009580   0.198069   0.009466   0.178594   0.009152
172.5   0.203577   0.009391   0.187132   0.009145   0.206041   0.009796
177.5   0.190296   0.009044   0.184734   0.009038   0.172062   0.008911
182.5   0.174042   0.008598   0.170053   0.008630   0.162013   0.008625
187.5   0.176765   0.008601   0.183995   0.008927   0.159132   0.008510
192.5   0.165445   0.008259   0.157889   0.008221   0.155957   0.008387
197.5   0.153539   0.007907   0.152541   0.008050   0.142477   0.007976
202.5   0.140186   0.007508   0.159915   0.008215   0.153749   0.008249
207.5   0.137627   0.007417   0.121424   0.007138   0.142660   0.007904
212.5   0.108512   0.006599   0.123016   0.007144   0.127837   0.007435
217.5   0.111689   0.006760   0.122821   0.007187   0.129991   0.007486
222.5   0.105949   0.006902   0.113384   0.006902   0.129586   0.007541
227.5   0.099474   0.007139   0.109174   0.007112   0.099494   0.006631
232.5   0.107938   0.008757   0.125777   0.008336   0.119345   0.007520
237.5   0.095052   0.008123   0.137054   0.010079   0.107688   0.009170
242.5   0.090413   0.007871   0.107754   0.008859   0.117945   0.009508
247.5   0.086772   0.007642   0.096144   0.008307   0.099229   0.008639
252.5   0.083936   0.007449   0.103476   0.008565   0.098463   0.008573
257.5   0.074221   0.006954   0.090930   0.007976   0.086236   0.007974
262.5   0.074291   0.006969   0.090749   0.007963   0.089523   0.008112
267.5   0.090243   0.007888   0.088428   0.007860   0.085268   0.007893
272.5   0.063617   0.007153   0.076472   0.007457   0.095794   0.008398
277.5   0.066425   0.007350   0.072770   0.007712   0.067564   0.007311
282.5   0.131065   0.043769   0.079114   0.008706   0.085084   0.008412
287.5   -          -          -          -          -          -       
292.5   -          -          -          -          -          -       
297.5   -          -          -          -          -          -       
302.5   -          -          -          -          -          -       
307.5   -          -          -          -          -          -       
312.5   -          -          -          -          -          -       
317.5   -          -          -          -          -          -       
322.5   -          -          -          -          -          -       
327.5   -          -          -          -          -          -       
332.5   -          -          -          -          -          -       
337.5   -          -          -          -          -          -       
342.5   -          -          -          -          -          -       
347.5   -          -          -          -          -          -       
352.5   -          -          -          -          -          -       
357.5   -          -          -          -          -          -       
