# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=650MeV/c            
#Omega  C.S.      Stat. Err. 
-37.5   0.000000   0.000000
-32.5   0.000000   0.000000
-27.5   0.000000   0.000000
-22.5   0.000000   0.000000
-17.5   0.000000   0.000000
-12.5   0.000000   0.000000
 -7.5   0.000000   0.000000
 -2.5   0.000000   0.000000
  2.5   0.000000   0.000000
  7.5   0.000859   0.000859
 12.5   0.001687   0.001193
 17.5   0.002072   0.001032
 22.5   0.005299   0.001653
 27.5   0.004514   0.001515
 32.5   0.006788   0.001856
 37.5   0.008156   0.002040
 42.5   0.008447   0.002073
 47.5   0.014159   0.002676
 52.5   0.008730   0.002102
 57.5   0.013667   0.002635
 62.5   0.009378   0.002086
 67.5   0.015758   0.002405
 72.5   0.020526   0.002791
 77.5   0.020750   0.002896
 82.5   0.025262   0.003065
 87.5   0.025834   0.003036
 92.5   0.029102   0.003204
 97.5   0.029393   0.003225
102.5   0.035285   0.003525
107.5   0.038725   0.003690
112.5   0.044865   0.004272
117.5   0.044701   0.003957
122.5   0.045890   0.004011
127.5   0.053372   0.004337
132.5   0.049710   0.004183
137.5   0.058274   0.004530
142.5   0.059182   0.004573
147.5   0.059398   0.004595
152.5   0.072566   0.005085
157.5   0.071171   0.005067
162.5   0.082763   0.005527
167.5   0.083806   0.005678
172.5   0.086567   0.005924
177.5   0.092873   0.006299
182.5   0.091196   0.006321
187.5   0.104658   0.006750
192.5   0.084775   0.007060
197.5   0.102261   0.007737
202.5   0.101522   0.007710
207.5   0.110320   0.008030
212.5   0.099254   0.007619
217.5   0.095648   0.007480
222.5   0.093818   0.007425
227.5   0.088465   0.007256
232.5   0.098221   0.007779
237.5   0.090998   0.007587
242.5   0.105780   0.008478
247.5   0.088552   0.007929
252.5   0.103822   0.010492
257.5   0.097119   0.010188
262.5   0.092808   0.009900
267.5   0.101425   0.010417
272.5   0.087406   0.009663
277.5   0.086204   0.009654
282.5   0.089074   0.009871
287.5   0.064975   0.008516
292.5   0.093532   0.011281
297.5   0.075649   0.010244
302.5   0.089393   0.013358
307.5   0.088962   0.013800
312.5   -          -       
317.5   -          -       
322.5   -          -       
327.5   -          -       
332.5   -          -       
337.5   -          -       
342.5   -          -       
347.5   -          -       
352.5   -          -       
357.5   -          -       
